bus_name,bus_number,stop,time
Arcot ,1,ARCOT,5.10 a.m.
Arcot,1,TOLL GATE,5.20 a.m.
Arcot,1,SUMAITHANGI,5.25 a.m.
Arcot,1,KAVERIPAKKAM,5.30 a.m.
Arcot,1,OCHERI,5.40 a.m
Arcot,1,PERUPULIPAKKAM,5.45 a.m
Arcot,1,PAUL CHETTY,6.00 a.m
Arcot,1,COLLEGE,7.15.a.m
Vandavasi,2,VANDAVASI,5.05 A.M
Vandavasi,2,VEERAMBAKKAM,5.15 A.M
Vandavasi,2,MELMA KOOT ROAD,5.20 A.M
Vandavasi,2,MANAMADHI KOOT ROAD,5.25 A.M
Vandavasi,2,KOODIMANTHAL,5.30 A.M
Vandavasi,2,MANGAL KOOT ROAD,5.35 A.M
Vandavasi,2,MAMANDUR,5.40 A.M
Vandavasi,2,METTU THERU KPM,5.55 A.M
Vandavasi,2,KACHALEESWARAR TEMPLE,6.00 A.M
Vandavasi,2,EKAMBARESWARAR TEMPLE,6.05 A.M
Vandavasi,2,COLLEGE,7.15 A.M
Cheyyar,3,R C M SCHOOL,5.10 A.M
Cheyyar,3,STATE BANK,5.10 A.M
Cheyyar,3,SOUNTHRI,5.10 A.M
Cheyyar,3,PULIREIPAKKAM,5.15 A.M
Cheyyar,3,BARALI,5.25 A.M
Cheyyar,3,PANDIYAPAKKAM,5.25 A.M
Cheyyar,3,CHOLAVARAM,5.30 A.M
Cheyyar,3,MANGAL KOOT ROAD,5.35 A.M
Cheyyar,3,THOOSI,5.40 A.M
Cheyyar,3,IYYENGAR KOOT ROAD,5.40 A.M
Cheyyar,3,HOUSING BOARD,5.50 A.M
Cheyyar,3,COLLECTOR OFFICE,5.50 A.M
Cheyyar,3,MUNGIL MANDAPAM,5.55 A.M
Cheyyar,3,KANCHEEPURAM BUS  STAND,6.00 A.M
Cheyyar,3,COLLEGE,7.15 A.M
Kancheepuram,4,VALPATTARAI,5.45a.m
Kancheepuram,4,RENGASAMY KULAM,5.50a.m
Kancheepuram,4,VISHNU KOVIL,5.55 a.m.
Kancheepuram,4,PEIYAR NAGAR,6.00 a.m.
Kancheepuram,4,YAGANAPETTAI,6.10 a.m.
Kancheepuram,4,ORAGADAM,6.30a.m
Kancheepuram,4,VALLAKOTTAI,6.35a.m
Kancheepuram,4,SRIPERUMPUDUR BUS STAND,6.50 a.m.
Kancheepuram,4,THERADI,6.55 a.m.
Kancheepuram,4,COLLEGE,7.15.a.m
Kancheepuram,5,MILITARY ROAD,5.45a.m
Kancheepuram,5,KEEL GATE,5.50a.m
Kancheepuram,5,KEERAI MANDAPAM,5.50a.m
Kancheepuram,5,PAVAPETTAI STREET,6.00a.m
